rho,mu,eta,kappa,topo,n_seeds,delta,p_boot,p_wil,bh,med_ok,het_seeds,conv_seeds,modal_lib,inversion
20,0.3,5,0.5,sbm,8,1.2152,1,1,0,0,0,0,delay8,0
20,0.3,5,1.0,bridge,8,1.9510,1,1,0,0,0,0,delay8,0
20,0.3,5,1.0,sbm,8,1.2601,1,1,0,0,0,0,delay8,0
20,0.3,8,0.25,bridge,8,2.1435,1,1,0,0,0,0,delay8,0
20,0.3,8,0.25,sbm,8,1.1757,1,1,0,0,0,0,protect_only,0
20,0.3,8,0.5,bridge,8,2.1452,1,1,0,0,0,0,delay8,0
20,0.3,8,0.5,sbm,8,1.2032,1,1,0,0,0,0,protect_only,0
20,0.3,8,1.0,bridge,8,2.1487,1,1,0,0,0,0,delay8,0
20,0.3,8,1.0,sbm,8,1.2536,1,1,0,0,0,0,protect_only,0
20,0.4,2,0.25,bridge,8,1.6265,1,1,0,0,0,0,delay8,0
20,0.4,2,0.25,sbm,8,1.0886,1,1,0,0,0,0,protect_only,0
20,0.4,2,0.5,bridge,8,1.6305,1,1,0,0,0,0,delay8,0
20,0.4,2,0.5,sbm,8,1.1363,1,1,0,0,0,0,protect_only,0
20,0.4,2,1.0,bridge,8,1.6384,1,1,0,0,0,0,delay8,0
20,0.4,2,1.0,sbm,8,1.1861,1,1,0,0,0,0,delay8,0
20,0.4,5,0.25,bridge,8,1.9196,1,1,0,0,0,0,delay8,0
20,0.4,5,0.25,sbm,8,1.0510,1,1,0,0,0,0,protect_only,0
20,0.4,5,0.5,bridge,8,1.9217,1,1,0,0,0,0,delay8,0
20,0.4,5,0.5,sbm,8,1.0864,1,1,0,0,0,0,protect_only,0
20,0.4,5,1.0,bridge,8,1.9258,1,1,0,0,0,0,delay8,0
20,0.4,5,1.0,sbm,8,1.1500,1,1,0,0,0,0,protect_only,0
20,0.4,8,0.25,bridge,8,2.0915,1,1,0,0,0,0,delay8,0
20,0.4,8,0.25,sbm,8,1.0305,1,1,0,0,0,0,protect_only,0
20,0.4,8,0.5,bridge,8,2.0927,1,1,0,0,0,0,delay8,0
20,0.4,8,0.5,sbm,8,1.0578,1,1,0,0,0,0,protect_only,0
20,0.4,8,1.0,bridge,8,2.0951,1,1,0,0,0,0,delay8,0
20,0.4,8,1.0,sbm,8,1.1084,1,1,0,0,0,0,protect_only,0
